file_path,file_name,text,dimensions,width,height
"/data/thesis/AdImageNet/images/(300, 250)/ad_000001.jpg",ad_000001.jpg,"$3
STULZ
Differential for 2nd Shift
Manufacturing
Job Fair
July 22 | 10AM-2PM","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 250)/ad_000009.jpg",ad_000009.jpg,"VULTURE
into
with
Sam Sanders
Apple Podcasts","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 250)/ad_000017.jpg",ad_000017.jpg,"smart
care
O
design
build
& install
repair
prevent","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 600)/ad_000020.jpg",ad_000020.jpg,"TREE
SANTOR
Match On!
The Showstopper,
Luchador!","(300, 600)",300,600
"/data/thesis/AdImageNet/images/(300, 250)/ad_000021.jpg",ad_000021.jpg,"Local experts connecting
customers to YOUR business.
COMMUNITY NEW
DIGITAL
65","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 250)/ad_000028.jpg",ad_000028.jpg,"Need a
coupon code?
Get It Here
I
|
I
I
Coupert!","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 250)/ad_000031.jpg",ad_000031.jpg,"Three Ways
You Can Make
a Difference
cookies
for kids' cancer
Let's get Baking","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 250)/ad_000034.jpg",ad_000034.jpg,"Third of Life
BYE-BYE
CELLULITE
glatte Beine mit
Cellulite Leggings","(300, 250)",300,250
"/data/thesis/AdImageNet/images/(300, 600)/ad_000038.jpg",ad_000038.jpg,"Newchic
FASHION
www
ےےے
e","(300, 600)",300,600
"/data/thesis/AdImageNet/images/(970, 250)/ad_000044.jpg",ad_000044.jpg,"Start
PDFtab.com","(970, 250)",970,250
"/data/thesis/AdImageNet/images/(970, 250)/ad_000051.jpg",ad_000051.jpg,"Strong & Beautiful
Tents without Fire Retardants or PFOAs
THETENTLAB
W MAGA","(970, 250)",970,250
