epoch,train_sinkhorn,val_sinkhorn,loss,lr,wall_time,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,grad_norm,it_per_sec,samples_per_sec
1,0.033335953196587643,0.03447741223499179,0.22463463273265954,0.0005,35.807817697525024,0.012489438765058833,0.7424243804344461,0.00523387720233045,0.0012589485272919098,0.0504330185449813,0.22463463273265954,0.027761336600731226,3.3786214140823247,13777.318780287114
2,0.05674439351543907,0.043326797895133495,0.1364512129944137,0.0005,7.14805793762207,0.012452243296198609,0.31040190012494395,0.0005683042099391503,0.0006054847521422631,0.019889655515305266,0.1364512129944137,0.03023277874266313,5.620234940762044,22918.155613869403
3,0.060628039993284165,0.04454903048463166,0.11318186660747483,0.0005,10.34425687789917,0.013285445672852442,0.20600202039253612,0.000216270031114994,0.0005516874322990987,0.009765257697152205,0.11318186660747483,0.03674465901226052,6.797361390471023,27718.234470592
4,0.061553783283745944,0.0458047881256789,0.10249128663871344,0.0005,7.392330646514893,0.013897809061444989,0.16174979039952775,8.824513747076858e-05,0.0005142533288660559,0.004398059084518882,0.10249128663871344,0.04015001605364902,7.9611100430073165,32463.76049751188
5,0.0616377427065668,0.04501230176538229,0.09577596565216458,0.0005,7.808208227157593,0.014339386747210971,0.13555892045832862,3.9923677711857266e-05,0.00047128047714248484,0.0019737241553019515,0.09577596565216458,0.04212004368093388,8.818741887776962,35961.0062394703
6,0.060999589918319844,0.04483610508032143,0.09049683701373583,0.0005,7.146905899047852,0.014709007148900308,0.11742449662655838,2.0375368598447382e-05,0.00042248640400896324,0.0009683676151566454,0.09049683701373583,0.04262157720475158,9.58403968565471,39081.73181952291
7,0.060934405219702684,0.045224250527098775,0.0870462413728663,0.0005,7.530388832092285,0.015061897518159437,0.10406897580328066,1.1165906862290346e-05,0.00037176519524583147,0.0005629909213262895,0.0870462413728663,0.04270213642273067,10.170319350259659,41472.4566117934
8,0.060738413479209934,0.043658519396558404,0.08430063285209256,0.0005,7.370541572570801,0.015358978882431984,0.0939600358694053,6.257036410948966e-06,0.0003248672270454651,0.0003909797918567172,0.08430063285209256,0.04278185806614308,10.678163546702011,43543.343909669835
9,0.06042028292397822,0.044275647727772593,0.08203461267900224,0.0005,7.2691943645477295,0.015602944926782087,0.0862173792744471,4.1316131053703854e-06,0.000286052891530466,0.0003096648594864821,0.08203461267900224,0.04259923950207135,11.12113787340956,45349.70182950333
10,0.06016710489865177,0.043289239052683115,0.08015309838636704,0.0005,7.980148077011108,0.015836217417574124,0.07973545198598184,3.0075437934109016e-06,0.0002543627143037036,0.0002639346541009443,0.08015309838636704,0.042169331088046394,11.425665174189817,46591.501381262635
11,0.059750958384314844,0.043645083205774426,0.07836316511979828,0.0005,7.8355183601379395,0.016023568670488587,0.07426345465350742,2.520401129132093e-06,0.000227950569766589,0.0002329597501699959,0.07836316511979828,0.04141149580601818,11.702377743921831,47719.87719263515
