epoch,train_sinkhorn,val_sinkhorn,loss,lr,wall_time,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,grad_norm,it_per_sec,samples_per_sec
1,0.04539703547474614,0.041368241853466846,0.28011075120513534,0.0005,30.33274507522583,0.012532795246610521,0.7229316495130399,0.20889301780479863,0.16294943674987444,0.1679655789666198,0.28011075120513534,0.18293592443781123,21.490541799589657,87972.51200657825
2,0.057517800640109126,0.04017909638947103,0.1707431067297652,0.0005,130.25223207473755,0.01396715674160814,0.4153468492755129,0.018124130296669445,0.03771603234009417,0.038045775071015024,0.1707431067297652,0.048138627562489066,8.11575101145027,33222.199006372415
3,0.05302903012149721,0.037298241403044725,0.125327032866,0.0005,126.17848062515259,0.014619689713306497,0.27926227326956266,0.0031945256245296816,0.010804072713787936,0.010825745932803563,0.125327032866,0.06545795342010771,6.816773197706861,27904.774392229298
4,0.05133662320833447,0.03574459990713655,0.1144143690235359,0.0005,28.344857215881348,0.015006579330156734,0.24929109355149093,0.0004578485413675162,0.0035457119879175685,0.003546163744001758,0.1144143690235359,0.049590131382177945,8.269354409799567,33850.98223088553
5,0.050225093457962104,0.03571593343484693,0.10956460710565616,0.0005,30.2114315032959,0.01516634328405093,0.2360438625871038,0.00046871302179923277,0.0014082766244255087,0.001408490362956383,0.10956460710565616,0.048447283681916316,9.430301037334898,38603.37088639935
6,0.049561040253132765,0.03589095338815596,0.1065167520568239,0.0005,28.720860481262207,0.015289527364075184,0.2271108292957391,0.0004453201229366948,0.0006672294498931908,0.0006674952247337884,0.1065167520568239,0.046599955355142886,10.445905087054426,42760.79265087401
7,0.04921751964745894,0.03531478667949758,0.10442873972005719,0.0005,27.989545106887817,0.01540724797448589,0.22034245226646493,0.00048650074340410223,0.00038461941375612837,0.000384949902659982,0.10442873972005719,0.046188246018818914,11.339396589048066,46418.34127620078
8,0.0489546902466314,0.035227674445727976,0.10274252729275961,0.0005,117.92386627197266,0.015498685490545686,0.21478822105135653,0.0004142116480680151,0.00024665344264654675,0.0002469527421760561,0.10274252729275961,0.04368659870504785,10.021022823652805,41021.517605250454
9,0.04859580079013585,0.03536170784656594,0.10122361725027378,0.0005,177.47335028648376,0.015592564018786045,0.21019691530546528,0.00042163976999335393,0.0001819592367733066,0.00018227733094945117,0.10122361725027378,0.04315313903123506,8.405790421166845,34409.48969401828
10,0.04840773221768119,0.03523937517368212,0.0999573047816951,0.0005,123.49151110649109,0.015722010453214492,0.20590648848129198,0.00042966666080213316,0.000149749537071151,0.00015008823903578554,0.0999573047816951,0.04221652588732769,7.935909709887026,32486.011414660643
11,0.04829442765609435,0.035521959113638576,0.09894517314098122,0.0005,49.793025493621826,0.015839823056012392,0.20234497906240217,0.00039426680881315073,0.00012520501109818924,0.00012553537295177075,0.09894517314098122,0.04063448215052028,8.230668711155856,33692.620942586494
12,0.04792762983681783,0.035237182840341476,0.09771614584691175,0.0005,28.91184902191162,0.015944615260703614,0.1989103100188305,0.00038796746605175884,0.00011053931640871397,0.00011087827140258616,0.09771614584691175,0.04001913742487964,8.690560456743103,35575.20897019466
13,0.047595339661544084,0.035740210561127195,0.09666919073437039,0.0005,28.631837368011475,0.01607712857893731,0.19605091381018147,0.0004098836808933939,0.00010048195121483448,0.00010086057070105985,0.09666919073437039,0.040049119338256084,9.124582661894372,37351.89877748861
14,0.04744958922129833,0.035003449040942075,0.09583268164931645,0.0005,28.333994150161743,0.01622504987496814,0.19330660086925044,0.0003895520465984152,8.72429513919383e-05,8.762710906480914e-05,0.09583268164931645,0.03908018383877409,9.535614922780365,39034.478286135156
15,0.04732667629041372,0.03551589615824746,0.09507145587571124,0.0005,28.72052788734436,0.016365862522914183,0.19075547659232572,0.0003988606654358614,7.994599010798211e-05,8.029771661703715e-05,0.09507145587571124,0.03902628312767283,9.918198427170276,40600.60151246092
16,0.04727968425015731,0.03556763912301238,0.09447853609492833,0.0005,28.65565299987793,0.016497631982951625,0.18858660295879914,0.0003762734435261956,7.270994701907874e-05,7.302766016716076e-05,0.09447853609492833,0.03805597979529687,10.280648345278891,42084.30689893244
17,0.04726428388292256,0.035506280547961955,0.09389154624112196,0.0005,29.196001052856445,0.016631970304904358,0.18630271795794276,0.00038551735515228436,6.498469800113035e-05,6.532663398385163e-05,0.09389154624112196,0.037989894091008815,10.617690227750234,43464.003332497836
18,0.04722826759919433,0.03555564305222616,0.0934040341087129,0.0005,136.55670833587646,0.016754931058917493,0.1845170350436784,0.0003486305373884913,5.8067241973122954e-05,5.837970662815104e-05,0.0934040341087129,0.03685287394749424,9.941759664498111,40697.050465162065
19,0.047107792830814614,0.03592625001399982,0.09283523663325915,0.0005,177.39679551124573,0.016829757065586516,0.18271731034469751,0.0003695993917821721,5.561603853616333e-05,5.59467323832096e-05,0.09283523663325915,0.03695199429771743,9.123097253994928,37345.81823282451
20,0.047050091312295456,0.03555541103932916,0.09236798851396122,0.0005,123.43240022659302,0.01695329561955267,0.18108502519459813,0.00036397586420229837,5.105316890569681e-05,5.1379997054317774e-05,0.09236798851396122,0.036716496480480296,8.803049444885254,36035.68784072501
21,0.04704412780816387,0.035934036052445086,0.09194677633366413,0.0005,178.349360704422,0.017064508290652848,0.17942541812552265,0.00036252298510600913,5.0047554803179774e-05,5.036940128663719e-05,0.09194677633366413,0.03628784791206473,8.249910108758135,33771.386559372055
22,0.04694054819117843,0.03594301377491253,0.09150233285819832,0.0005,95.15704584121704,0.017143450157454044,0.1780666730886588,0.00035613448147667697,4.735485742563982e-05,4.7674609649683775e-05,0.09150233285819832,0.035910509015359214,8.174096353064147,33461.03945725671
23,0.046920583806246335,0.035998852060335436,0.09113658889708708,0.0005,28.424286603927612,0.017250283089883488,0.17669501585280237,0.0003381252282881535,4.2036796178992095e-05,4.234925193436343e-05,0.09113658889708708,0.035326393184029255,8.409429891971742,34424.388093886155
24,0.04691403822550561,0.03585407146956862,0.09080177317814028,0.0005,28.41606640815735,0.017318856588170572,0.17537082930558298,0.00036294872947433606,4.350173237679621e-05,4.382580053820089e-05,0.09080177317814028,0.035683163544563065,8.637417926668618,35357.66768210419
