epoch,train_sinkhorn,val_sinkhorn,loss,lr,wall_time,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,grad_norm,it_per_sec,samples_per_sec
1,0.05049327268990819,0.03604719328989343,0.13954803766784044,0.0005,30.849940299987793,0.012851945784491448,0.3500428418257485,0.0008963485152566292,0.0006796717558926017,0.013864524943801929,0.13954803766784044,0.027470116750651433,21.131268663958583,86501.81054739474
2,0.050544966583602996,0.03506290185742262,0.09818094993259456,0.0005,28.630188941955566,0.013617970690736832,0.19028116714643553,6.463515388110691e-06,0.00028865110338290587,0.0003618010050558951,0.09818094993259456,0.02811424017946687,21.883555785663788,89581.33212637491
3,0.049185040104060086,0.03453186422404719,0.09218954957227145,0.0005,28.655535221099854,0.01401250996981159,0.17190923937167857,2.0408418850385237e-06,0.00013429747136769332,0.00013565793966458813,0.09218954957227145,0.028028382916871937,22.14090269936508,90634.79979479384
4,0.04836568390047806,0.034063399701220236,0.08883254093534494,0.0005,28.318255186080933,0.014369962249876805,0.16181374434953086,1.6111400229651373e-06,6.58433681916452e-05,6.67549666271997e-05,0.08883254093534494,0.0278708414414589,22.329688726309012,91407.60618827803
5,0.047847297865371764,0.034033798453647915,0.08662327068135853,0.0005,28.995859146118164,0.01467870816194161,0.15507721359287302,1.5657957664083554e-06,3.233441510889911e-05,3.279396680975047e-05,0.08662327068135853,0.027700928714057785,22.342817080606473,91461.3479697846
6,0.04748435764133564,0.033705642401445204,0.0848746890331782,0.0005,28.741707801818848,0.014975633690750764,0.14954784885048866,1.840657680207555e-06,1.5754182025939035e-05,1.60969524979478e-05,0.0848746890331782,0.027464043086200405,22.385234049865257,91634.98395335242
7,0.04728481424343915,0.03393362053647274,0.08363469529234922,0.0005,28.21213960647583,0.01525505972266243,0.14539256826774474,1.9958272675217324e-06,7.52220932939338e-06,7.87178314190796e-06,0.08363469529234922,0.027321717756131857,22.473845244923897,91997.7180706424
8,0.04709572720975598,0.03389236862521346,0.08255673717064332,0.0005,28.280521869659424,0.01551013777998099,0.1418397285364157,2.452647392731202e-06,3.959194234790697e-06,4.366426206724675e-06,0.08255673717064332,0.027023925206001186,22.544832974881054,92288.31007547831
9,0.046969672984963545,0.033769799532686794,0.08163630019716901,0.0005,28.684890747070312,0.015751040993441195,0.13866401744857887,1.986230430691403e-06,1.9458011889510314e-06,2.2964689879348497e-06,0.08163630019716901,0.026852473210931923,22.565215369093202,92371.7462892027
10,0.04687003693629079,0.034086676768776844,0.08088439545313517,0.0005,28.766688108444214,0.015982924312056026,0.13605471371324515,2.665383296367234e-06,1.880508304069027e-06,2.2549937303397673e-06,0.08088439545313517,0.02663379669063753,22.575150153861976,92412.41482071158
11,0.046764082183912856,0.03382335512376413,0.08019035560837286,0.0005,29.283626317977905,0.016200102799989145,0.133703200066565,2.105224929079823e-06,1.1327973035185113e-06,1.496055954914811e-06,0.08019035560837286,0.026411892957642583,22.546585006619317,92295.48217567524
12,0.046718146571992365,0.0340954938040274,0.07959115996707798,0.0005,29.029706239700317,0.016404900848408416,0.1314901004493968,2.245138461160979e-06,1.126733126409851e-06,1.5109557768009892e-06,0.07959115996707798,0.026224259567087047,22.53931145111282,92265.70762281567
13,0.04664204655889353,0.034077034263712606,0.07905032339649148,0.0005,29.359187126159668,0.01661451731128561,0.12963091035836313,2.4896776708851856e-06,1.263885030487701e-06,1.7389173703864754e-06,0.07905032339649148,0.02612812443710635,22.51344037783462,92159.80320572712
14,0.046580591821825945,0.03409443068795088,0.07855638138561288,0.0005,28.352561473846436,0.016798512135958014,0.12790105895259263,2.3191965294577855e-06,1.268437614237358e-06,1.6606222441922202e-06,0.07855638138561288,0.02600097999925171,22.54723583659853,92298.14647691524
15,0.04636763798450034,0.03404060137889734,0.0779666477086293,0.0005,29.164838075637817,0.01698470669312894,0.1263939595775553,2.1928808247969196e-06,1.3569093643541711e-06,1.6485072121716877e-06,0.0779666477086293,0.025806752981995147,22.534352766910203,92245.40929997305
16,0.04627664131255237,0.034098715316958544,0.07750217233199587,0.0005,28.850631952285767,0.01715098223448988,0.12490005023274685,2.390348596708794e-06,1.1687119734096019e-06,1.625551997760711e-06,0.07750217233199587,0.025597319763976556,22.538382031781616,92261.90317634841
